categoria, nombre, pistas, conflictos, tiempo(ms)
facil,s01a.txt,33,0,22
facil,s01b.txt,36,0,25
facil,s01c.txt,32,0,49
facil,s02a.txt,30,0,103259
facil,s02b.txt,28,0,44
facil,s02c.txt,28,0,50
facil,s03a.txt,28,0,5901
facil,s03b.txt,26,0,324902
facil,s03c.txt,27,0,56961
facil,s04a.txt,28,0,116483
facil,s04b.txt,27,0,44
facil,s04c.txt,28,0,31787
facil,s05a.txt,30,0,264094
facil,s05b.txt,28,0,102994
facil,s05c.txt,26,0,11397
facil,s06a.txt,36,0,20
facil,s06b.txt,39,0,17
facil,s06c.txt,36,0,20
facil,s07a.txt,25,0,184726
facil,s07b.txt,25,0,39
facil,s07c.txt,25,0,48
facil,s08a.txt,22,0,217550
facil,s08b.txt,23,0,84385
facil,s08c.txt,22,0,563202
facil,s09a.txt,23,2,645501
facil,s09b.txt,22,3,339595
facil,s09c.txt,22,0,278385
facil,s10a.txt,31,0,47
facil,s10b.txt,31,0,30
facil,s10c.txt,32,0,30
facil,s11a.txt,28,0,279735
facil,s11b.txt,26,0,1821
facil,s11c.txt,28,0,48233
